puerta +puerta+puerta	puerta+puerta+puerta
foco+foco	foco+foco+foco
nosotros reír gustar	nosotros reír gustar
ayer novio mujer tuya periódico leer	ayer novio mujer tuya periódico leer
hermano mujer mía embarazada	hermano mujer mía embarazada
tío mío apenado	tío mío apenado
no, tío mío oyente	no, tío mío oyente
tú español entender no	tú español entender no
ella abrazo querer	ella abrazo querer
abuelo ellos tuyos	abuelo ellos tuyos
suegro	suegro
él (ella) inglés aprender querer	él inglés aprender querer
ellos enojones así	ellos enojones así
hijo mío comer querer	hijo mío comer querer
sobrino mío lsm aprender querer	sobrino mío lsm aprender querer
mamá mía español entender	mamá mía español entender
abuelo mío chocolate gustar	abuelo mío chocolate gustar
tío mujer tuya científica	tío mujer tuya científica
abuelo mujer tuya café gustar	abuelo mujer tuya café gustar
primo mujer mía suéter gris tener	primo mujer mía suéter gris tener
ayer él casa ir	ayer casa ahí él ir
abuelo tuyo chocolate gustar no	abuelo tuyo chocolate gustar no
tenis suyos papá míos cafés	tenis suyos papá mío cafés
¿amigo tuyo oyente?	¿amigo tuyo oyente?
ellas gentiles	ellas gentiles
ayer nosotros hablar	ayer nosotros hablar
México abuelo mujer mía vivir	México abuelo mujer mía vivir
niño ellos	niño ellos
hijo tuyo	hijo tuyo
abuelo tuyo	abuelo tuyo
¿cómo?	¿cómo?
sobrino ellos tuyos	sobrino ellos tuyos
niño ellos pelota jugar	niño ellos pelota jugar
pasado novio mío biblioteca ir	pasado novio mío biblioteca ir
yo abrazo querer	yo abrazo querer
novio mujer mía sorda	novio mujer mía sorda
ayer amigo mío libro leer	ayer amigo mío libro leer
primo mujer mía café gustar	primo mujer mía café gustar
primo mujer mía amable	prima mía amable
ellos español entender	ellos español entender
amigo mujer mía distraída	amigo mujer mía distraída
tío tuyo apenado	tío tuyo apenado
abuelo mío tímido así	abuelo mío tímido así
él masomenos	él masomenos
amigo mío abogada	amigo mío abogada
nosotros profesores	nosotros profesores
ayer abuelo mujer mío libro leer	ayer abuelo mujer mío libro leer
mesa	mesa
yo alegre	yo alegre
maestro tuyo enojado	maestro enojado tuyo
México novio mujer mía vivir	México novio mujer mía vivir
¿papá tuyo oyente?	¿papá tuyo oyente?
azúcar haber no	azúcar haber no
ellos café gustar	ellas café gustar
tío tuyo abogado	tío tuyo abogado
ustedes enojados	ustedes enojados
novio mío entender	novio mío entender
tú hacer poder	tú hacer poder
tío mío descansar querer	tío mío descansar querer
mañana él frances estudiar	mañana él frances estudiar
él (ella) comer querer	él (ella) comer querer
permiso por favor	permiso por favor
tú abogado	tú abogado
ayer papá tuyo libro leer	ayer papá tuyo libro leer
hermano tuyo galletas comer	hermano tuyo galletas comer
siempre nosotros contentos	siempre nosotros contentos
ellos chocolate gustar no	ellos chocolate gustar no
amigo nuestro miedoso así	amigo nuestro miedoso así
maestro suyo	maestro suyo
ayer amigo mujer tuya libro leer	ayer amigo mujer tuya libro leer
yo cerveza beber	yo cerveza beber
ellos (as)/ustedes ir querer	ustedes ir querer
México mamá tuya vivir	México mamá tuya vivir
papá mío café gustar no	papá mío café gustar no
hermano mujer mía programación aprender querer	hermano mujer mía programación aprender querer
niño mujer ellas	niño mujer ellas
amigo tuyo apenado	amigo tuyo apenado
amigo mujer alta	amigo mujer suya alta
papá mío chocolate gustar no	papá mío chocolate gustar no
ojos míos azules	ojos azules míos
estante ahí libro haber	estante ahí un libro haber
tío mío lsm aprender querer	tío mío lsm aprender querer
ustedes inglés aprender querer	ustedes inglés aprender querer
novio tuyo bien	novio tuyo bien
yo ocupado	yo ocupado
hermano mujer tuya chocolate gustar no	hermano mujer tuya chocolate gustar no
ellas sordas	ellas sordas
¿pasado tarde tú hacer que?	¿pasado noche tú hacer qué?
ellos ser	ustedes ser
él feliz así	él feliz así
papá mío masomenos	papá mío masomenos
papá mío artista	papá mío artista
tío mujer tuya ingeniera	tío mujer tuya ingeniera
ellos (as) (ustedes) desesperados	ellos desesperados
tú libro leer	tú libro leer
ayer abuelo mío ocupado	ayer abuelo mío ocupado
hermano mío pollo comer	hermano mío pollo comer
niño mujer ellas distraídas	niño mujer ellas distraídas
amigo mío alegre	amigo mío alegre
próxima semana abuelo mujer mía iglesia ir	próxima semana abuelo mujer mía iglesia ir
ayer novio mujer tuya libro leer	ayer novio mujer tuya libro leer
abuelo mío triste	abuelo mío triste
abuelo tuyo	abuelo tuyo
tú inglés aprender querer	tú inglés aprender querer
amigo tuyo artista	amigo tuyo artista
hola niña. Buenas noches	hola niña. Buenas noches
mañana yo alemán estudiar	mañana yo alemán estudiar
yo café caliente gustar	yo café caliente gustar
novio tuyo mal	novio tuyo mal
novio tuyo desesperado así	novio tuyo desesperado
tío mujer tuya enojona así	tío mujer tuya enojona así
casa ahí gato mío peluche jugar	casa ahí gato mío peluche jugar
yo caminar gustar	yo caminar gustar
ella feliz	ella feliz
hermano mujer suya	hermano mujer suya
hola gustar conocer ustedes	hola gustar conocer ellos
ustedes médicos	ustedes médicos
siempre el feliz	siempre él feliz
¿abuelo mujer tuya vivir dónde?	¿abuelo mujer vivir dónde?
tú pasear gustar	tú pasear gustar
ella agradable	ella agradable
¿futuro noche ellos (ellas) (ustedes) hacer qué?	¿futuro noche ellos (ellas) (ustedes) hacer que?
calor mucho	calor mucho
hermano mujer mía profesora	hermano mujer mía profesora
abuelo mujer mía distraída	abuelo mujer mía distraída
tío mujer tuya desesperada así	tío mujer tuya desesperada así
novio mujer mía oyente	novio mujer mía oyente
si, hermano mujer mía sorda	si, hermano mujer mía sorda
ustedes enojadas	ustedes enojadas
ayer ella ocupada	ayer ella ocupada
casa algunas	casa algunas
mamá tuya café gustar	mamá tuya café gustar
primo mujer ellas	primo mujer ellas
yo jugo manzana beber	yo jugomanzana beber
primo mujer mía inglés aprender querer	primo mujer mía inglés aprender querer
pasado amigo tuyo fiesta ir	pasado amigo tuyo fiesta ir
papá mío profesor	papá mío profesor
primo mío ingeniera	primo mío ingeniera
amigo mujer tuya preocupada	amigo mujer tuya preocupada
papá mío miedoso así	papá miedoso así
papá mío pasta comer	papá mío pasta comer
problema haber no	problema haber no
ayer novio tuyo libro leer	ayer novio tuyo libro leer
tío mujer mía lsm aprender	tío mujer mía lsm aprender
mamá suya	mamá suya
mamá mía tímida así	mamá mía tímida así
hermano tuyo artista	hermano tuyo artista
ella café gustar	ella café gustar
yo artista	yo artista
tío tuyo inglés aprender querer	tío tuyo inglés aprender querer
¿próximo jueves tú hacer qué?	¿futuro jueves tú hacer qué?
abuelo mío viejo	abuelo mío viejo
ellos ingenieros	ellos ingenieros
novio mío loco	novio mío loco
primo tuyo médico	primo tuyo médico
mamá mía enojada	mamá mía enojada
hermano mujer ellas	hermano mujer ellas
hermano mujer tuya café gustar no	hermano mujer tuya café gustar no
novio mío lsm aprender querer	novio mío lsm aprender querer
yo hombre	yo hombre
auto cl+cl+cl míos	amigo mujer ellas mías
hermano mujer mía pescado comer	hermano mujer mía pescado comer
perro suyo	perro suyo
tío mujer nuestra	tío mujer nuestra
abuelo mujer mía	abuelo mujer mía
tío mujer mía lsm aprender querer	tío mujer mía lsm aprender querer
niño ellos jóvenes	niño ellos jovenes así
amigo mujer mía lsm entender no	amigo mujer mía lsm entender no
no, papá mío oyente	no, papá mío oyente
próxima semana amigo mío universidad ir	próxima semana amigo mío universidad ir
ella chocolate gustar	él chocolate gustar
ellas español aprender querer	ellas español aprender querer
yo lsm entender no	yo lsm entender
hombre ellos	hombre ellos
eso yo hacer poder no	eso yo hacer poder no
comida servida	comida servida
esposo algunos	esposo algunos
novio mío triste	novio mío triste
primo mujer mía embarazada	primo mujer mía embarazada
¿tío tuyo oyente?	¿tío tuyo oyente?
niño ellos	hombre ellos
nosotros descansar querer	nosotros descansar querer
niño mujer ellas bien	niño mujer ellas bien
cacerola ahí abuelo mujer mía arroz hacer	abuelo mujer mía cacerola arroz cocinar
pasado novio mujer mía biblioteca ir	pasado novio mujer mía biblioteca ir
hermano mujer mía sorda	hermano mujer mía sorda
tío mujer mía distraída así	tío mujer mía distraída así
clima frío	clima frío
ellos confundidos	ellos confundidos
ella loca	ella loca
ellas lsm aprender	ellas lsm aprender
tío mujer mía abogada	tío mujer mía abogada
ellas arquitectas	ellas arquitectas
mujer muchas	mujer muchas
tú ser	tú ser
ayer yo huevos comer	ayer yo huevos comer
ayer ellos (as) (ustedes) libro leer	ayer ellos (as) libro leer
gato tuyo	gato tuyo
tú loco	tú loco
hermano mío triste	hermano mío triste
ayer primo mujer mío libro leer	ayer primo mujer mía libro leer
tú leer gustar no	tú leer gustar no
ustedes miedosos así	ustedes miedosos así
semana pasada él hacer eso	semana pasada éleso hacer
manzana roja	manzana roja
pista ahí él (ella) correr	pista ahí él (ella) correr querer
tú sonreír gustar	tú sonreír gustar
nosotros	nosotros
suegro mujer ellas	suegro mujer ellas
niño mujer ellas enojonas así	niño mujer ellas enojonas así
ellos caminar gustar no	ellos caminar gustar no
ellos café gustar no	ustedes café gustar no
día caluroso	día caluroso
lunes a viernes nosotros trabajar	lunes a viernes nosotros trabajar
mujer enojada	mujer enojada
novio mujer mía masomenos	novio mujer mía masomenos
ella cerveza beber	ella cerveza beber
niño mujer ellas estudiar	niño mujer ellas estudiar
cafetería ahí tío tuyo café tomar	cafetería tío tuyo café beber
tío tuyo chocolate gustar	tío tuyo chocolate gustar
biblioteca ahí sobrino mujer mía estudiar	biblioteca ahí sobrino mujer estudiar
