mujer más arrepiente	mujer ella arrepentir
amigo mío científica	amigo mío científica
mañana ellas matemáticas estudiar	mañana ellas matemáticas estudiar
mamá mía alegre así	mamá mía alegre así
abuelo tuyo lsm aprender querer	abuelo tuyo lsm aprender querer
abuelo mío miedoso así	abuelo mío miedoso así
México tío mujer mía vivir	México tío mujer mía vivir
novio mujer mía apenada	novio mujer mía apenada
nosotros español entender	nosotros español entender
novio mío bien	novio mío bien
¿mamá tuya	¿cómo estar ellos?
tío mujer tuya chocolate gustar	tío mujer tuya chocolate gustar
pasado abuelo mujer tuya iglesia ir	pasado abuelo mujer tuya iglesia ir
nosotros artistas	nosotros artistas
primo mujer ellas mías	amigo ellos tuyos
sobrino mujer mía inglés aprender querer	sobrino mujer mía inglés aprender querer
ella bicicleta gris tener	ella bicicleta gris tener
yo chocolate gustar	yo chocolate gustar
perra mío	perro mujer mía
hermano alto	hermano alto
ellos abogados	ellos abogados
puerta+puerta+puerta	puerta+puerta+puerta
tío mío lsm aprender querer	tío mío lsm aprender querer
tú abrazo querer	tú abrazo querer
estante ahí seis libros haber	estante ahí libros seis haber
ellos (as) (ustedes) ocupados	ellos (as) (ustedes) ocupados
tú loco	tú loco
ustedes leer gustar	ustedes leer gustar
tú español entender no	tú español entender no
hermano mío profesor	hermano mío profesor
nosotros bien	nosotros bien
ellos tranquilos	ellos tranquilos
novio nuestro	novio nuestro
amigo tuyo enojón así	amigo tuyo enojón así
mamá suya	mamá suya
tío mujer mía distraída así	tío mujer mía distraída así
¿ayer túudi?	¿ayer tú estudiar?
mamá tuya ingeniera	mamá tuya ingeniera
ayer primo mujer tuya periódico leer	ayer primo mujer tuya periódico leer
novio mujer mía confundida	novio mujer mía confundida
amigo mujer mía español entender	amigo mujer mía español entender
si, ellas sordas	si, ellas sordas
ayer novio mío libro leer	ayer novio mío libro leer
sobrino tuyo lsm aprender querer	sobrino tuyo lsm aprender querer
pelota amarilla	pelota amarilla
ellos caminar gustar no	ustedes caminar gustar no
pista ahí sobrino mío correr	pista ahí sobrino mío correr
abuelo mujer tuya oyente	abuelo mujer tuya oyente
perro cl+cl+cl agresivos	perro cl+cl+cl agresivos
perro tuyo agresivo	perro tuyo agresivo
futuro novio mujer mía biblioteca ir	futuro novio mujer mía biblioteca ir
pasado hijo tuyo universidad ir	¿pasado noche tú hacer qué?
mamá tuya arquitecta	mamá tuya arquitecta
hermano nuestro	hermano suyo
ustedes chocolate gustar no	ellos chocolate gustar no
cafetería ahí hermano mío baguette comer	cafetería ahí hermano mío baguette comer
próximo viernes niños ellos museo ir	próximo viernes niños ellos museo ir
futuro novio mío biblioteca ir	futuro novio mío biblioteca ir
abuelo tuyo	abuelo tuyo
México abuelo mujer mía vivir	México abuelo mujer mía vivir
pasado ustedes fiesta ir	pasado ustedes fiesta ir
abuelo mío enojón así	abuelo mío enojón así
niño ellos impacientes	niño ellos impacientes
todos los días semana pasada yo pizza comer	semana pasada todos los días yo pizza comer
niño ellos estudiar	niños ellos estudiar
próximo año ir	próximo año ellos (ellas) (ustedes) universidad ir
abuelo mío inglés aprender querer	abuelo mío inglés aprender querer
tú empujar no por favor	ustedes empujar no por favor
yo decirlo no	yo decir poder no
abuelo mujer tuya lsm aprender querer	abuelo mujer tuya lsm aprender querer
maestro mujer tuya	maestra tuya
novio tuyo masomenos	novio tuyo masomenos
gato tuyo	gato tuyo
novio mío alegre así	novio mío alegre
abuelo mujer tuya preocupada	abuelo mujer tuya preocupada
ustedes tímidos así	ustedes tímidos así
él masomenos	él masomenos
arbol+arbol+arbol	árbol+árbol+árbol
manzana pocas	manzana pocas
hola papá. Buenos días	hola papá. Buenos días
ellos chocolate gustar	ustedes chocolate gustar
calle ahí ellos futbol jugar	calle ahí ellos futbol jugar
tío tuyo arquitecto	tío tuyo arquitecto
auto azul grande	auto azul grande
amigo suyo inteligente	amigo suyo inteligente
tío mujer mía enojona así	tío mujer mía enojona así
algunos gatos muy agresivos	algunos gatos muy agresivos
él (ella) comer querer	él (ella) comer querer
tío tuyo desesperado así	tío tuyo desesperado
gato café tranquilo	gato café tranquilo
tú leer gustar no	tú leer gustar no
esposo algunos	esposo algunos
primo mujer tuya chocolate gustar	primo mujer tuya chocolate gustar
tú tímido así	tú tímido así
¿pasado viernes tú hacer qué?	¿pasado viernes tú hacer qué?
novio mío entender	novio mío entender
semana pasada yo morir	semana pasada anciano morir
novio tuyo oyente	novio tuyo oyente
él correr	eso correr
ellas lsm aprender querer	ellas lsm aprender querer
mamá mía alemán aprender querer	mamá mía alemán aprender querer
ustedes chocolate gustar	ellos chocolate gustar
papá tuyo chocolate gustar no	papá tuyo chocolate gustar no
México hijo mujer ellas vivir	México hijo mujer tuyas vivir
yo ir	yo ir
¿tío tuyo oyente?	¿tío tuyo oyente?
yo alta	yo alta
nosotros platicar gustar no	nosotros platicar gustar no
primo mujer tuya científica	primo mujer tuya científica
restaurante ahí tú hamburguesa comer	restaurante ahí tú hamburguesa comer
ellos caminar gustar	ellos caminar gustar
primo mujer tuya artista	primo mujer tuya artista
hermano mujer suya	hermano mujer suya
mujer muchas	mujer muchas
restaurante ahí ellas pescado comer	restaurante ahí ellas pescado comer
primo ellos suyos	primo mujer ellas tuyas
él inglés aprender querer	él inglés aprender querer
ellos limonada beber	ellos limonada beber
hijo	hijo
primo mío dibujar aprender querer	primo mío dibujar aprender querer
abuelo tuyo distraído	abuelo tuyo distraído
amigo mujer mía miedosa así	amigo mujer mía miedosa así
mamá tuya inglés aprender querer	mamá tuya inglés aprender querer
tío mujer mía embarazada	tío mujer mía embarazada
hermano tuyo chocolate gustar no	hermano tuyo chocolate gustar no
novio mío español entender	novio mío español entender
tío mío entender	tío mío entender
niño ellos dulces vender	niño ellos dulces vender
cafetería ahí novio mujer mía pasta comer	cafetería ahí novio mujer mío pasta comer
auto descompuesto blancos	auto+auto+auto blanco descompuestos
mamá mía enojada	mamá mía enojada
tío mujer mía científica	tío mujer mía científica
mamá tuya chocolate gustar no	mamá tuya chocolate gustar no
mamá mía leer gustar no	mamá mía leer gustar no
¿novio mujer sorda?	¿novio mujer sorda?
amigo mujer tuya desesperada	amigo mujer tuya desesperada así
México ellas vivir	México ellas vivir
abuelo mujer mía lsm aprender	abuela mujer mía lsm aprender
primo mujer tuya dentista	primo mujer tuya dentista
ustedes lsm aprender querer	ustedes lsm aprender querer
ustedes chocolate gustar no	ellas chocolate gustar no
papá suyo regañar	papá suyo él regañar
ustedes alegres así	ustedes alegres así
ellos llegar tarde porqué	tú llegar tarde porqué
él distraído	él distraído
eso yo hacer poder	eso yo hacer poder
tú leer gustar	tú leer gustar
papá mío triste	papá mío triste
ayer ellos, yo ayudar	ayer ustedes, yo ayudar
amigo mujer tuya bien	amigo mujer tuya bien
niño mujer él peinar	niño mujer ella peinar
abuelo mujer mía chocolate gustar no	abuelo mujer mía chocolate gustar no
pasado yo universidad ir	pasado yo universidad ir
mañana ellas universidad ir	mañana ellas universidad ir
biblioteca ahí ellas estudiar	biblioteca ahí ellas estudiar
perro cl+cl+cl agua beber	perro cl+cl+cl agua beber
tío mío confundido	tío mío confundido
ellas español aprender querer	ellas español aprender querer
él caminar	él caminar
ayer ellos bailar	ayer nosotros ellos ver
yo gritar no por favor	tú gritar no porfavor
él chocolate gustar	ella chocolate gustar
sobrino mujer tuya lsm aprender querer	sobrino mujer tuya lsm aprender querer
ayer novio tuyo libro leer	ayer novio tuyo libro leer
ustedes ir querer	ellas ir querer
gato nuestro	gato nuestro
auto	auto
yo perro adoptar no querer	yo perro adoptar no querer
sobrino mujer ellas	sobrino mujer ellas
novio mujer mía yogur comer	novio mujer mío yogur comer
hermano mujer mía café gustar no	hermano mujer mía café gustar no
¿pasado tarde tú hacer qué?	¿pasado noche tú hacer qué?
auto cl+cl+cl	auto+auto+auto
tias	tío mujer ellas
niño ellos enojones así	niño ellos enojones así
niño mujer ellas confundidas	niño mujer ellas confundidas
cafetería ahí tío mujer mía ensalada comer	cafetería ahí tío mujer mía ensalada comer
